216.jpg,Dress,99.29%,Shirt,0.47%,T-shirt/Top,0.16%,Coat,0.05%,Trouser,0.02%
146.jpg,Dress,76.31%,Shirt,13.50%,T-shirt/Top,8.83%,Coat,0.51%,Pullover,0.46%
839.jpg,Dress,99.69%,Shirt,0.27%,T-shirt/Top,0.03%,Coat,0.01%,Trouser,0.01%
328.jpg,Coat,99.63%,Shirt,0.30%,Pullover,0.03%,Bag,0.02%,Dress,0.01%
586.jpg,Shirt,84.91%,Coat,3.60%,T-shirt/Top,3.40%,Dress,3.40%,Bag,2.51%
1343.jpg,Dress,84.88%,Shirt,12.06%,T-shirt/Top,1.79%,Trouser,0.58%,Bag,0.32%
1247.jpg,Sneaker,99.93%,Sandal,0.05%,Bag,0.01%,Ankle Boot,0.00%,Shirt,0.00%
1292.jpg,Sneaker,100.00%,Ankle Boot,0.00%,Sandal,0.00%,Bag,0.00%,Shirt,0.00%
98.jpg,Coat,56.69%,Dress,26.97%,Shirt,13.99%,Pullover,1.21%,T-shirt/Top,0.72%
1213.jpg,Pullover,61.36%,Shirt,33.22%,T-shirt/Top,3.18%,Bag,1.46%,Coat,0.51%
1015.jpg,Dress,90.21%,Trouser,4.48%,Shirt,3.89%,Coat,0.48%,Pullover,0.27%
359.jpg,T-shirt/Top,96.59%,Pullover,2.32%,Shirt,0.55%,Dress,0.38%,Bag,0.08%
285.jpg,Coat,96.06%,Dress,3.30%,Shirt,0.50%,Pullover,0.11%,T-shirt/Top,0.02%
468.jpg,Trouser,99.99%,Dress,0.01%,Pullover,0.00%,Shirt,0.00%,Coat,0.00%
1291.jpg,Sneaker,100.00%,Ankle Boot,0.00%,Sandal,0.00%,Bag,0.00%,T-shirt/Top,0.00%
1427.jpg,Shirt,86.39%,Coat,13.60%,Bag,0.01%,Pullover,0.00%,Sneaker,0.00%
1648.jpg,Sneaker,99.94%,Ankle Boot,0.06%,Sandal,0.00%,Shirt,0.00%,Bag,0.00%
1336.jpg,Dress,95.99%,Shirt,2.61%,T-shirt/Top,1.04%,Pullover,0.15%,Trouser,0.13%
18.jpg,Shirt,95.84%,Coat,3.67%,Bag,0.27%,Dress,0.10%,T-shirt/Top,0.08%
36.jpg,Pullover,99.60%,Shirt,0.34%,T-shirt/Top,0.04%,Coat,0.01%,Dress,0.00%
263.jpg,Trouser,90.70%,Shirt,5.77%,Dress,3.00%,T-shirt/Top,0.42%,Bag,0.04%
